Original_Keywords,Mapped_Terms,Scores
"Mediation
Beginning of life
End of life
Ethics consultants
Difficult cases
Clinicians
Parents
Infants
Severe genetic conditions
Research participants
Alzheimer's disease
Surrogate decision makers","Mediterranean Region
Beginning of Human Life
Mortality
Ethics Committees
Legal Cases
Physicians
Parents
Infant
Genetic Diseases, Inborn
Health Resources
Alzheimer Disease
Surrogate Mothers","0.6497
0.7779
0.7212
0.6834
0.7092
0.7705
1.0000
0.9168
0.6622
0.8633
0.9439
0.6458"
"Male fertility preservation
Innovations
Questions
Benign diseases
Malignant diseases
Impaired fertility
Treatment effects
Sperm cryopreservation
Prepubertal boys
Testicular sperm extraction
Stem cells
Ethical issues","Fertility Preservation
Inventions
Examination Questions
Animal Diseases
Rare Diseases
Infertility
Treatment Failure
Sperm Retrieval
Adolescent
Sperm Transport
Stem Cells
Ethology","0.7661
0.6532
0.6781
0.7923
0.6021
0.7974
0.8702
0.7139
0.6130
0.7132
0.9189
0.7926"
"Euploid blastocysts
Viable pregnancies
Oocyte environment
Embryo metabolism
Aging effects
Lifestyle factors
Psychological stress
Nutritional supplements
Cellular energy levels
Endocrine and paracrine factors
Cumulus cells
Exogenous gonadotropins
Adjunctive medications
Culture media
In vitro fertilization laboratory","Polyploidy
Pregnancy
Oocytes
Metabolism
Aging
Sedentary Lifestyle
Stress, Psychological
Nutritional Sciences
Energy Transfer
Tacrine
Cumulus Cells
Testosterone
Adrenergic Agents
Culture Media
In Vitro Techniques","0.5900
0.8497
0.7470
0.6631
0.7699
0.6461
0.8116
0.7832
0.6064
0.5499
0.8138
0.5747
0.5664
0.8420
0.5916"
"Coarse-graining
Macromolecules
Biopolymers
Membranes
Complex fluids
Soft materials
Structures
Dynamics
Assembly processes
Atomistic modeling","Whole Grains
Macromolecular Substances
Biopolymers
Membranes
Ionic Liquids
Dental Materials
Group Structure
Urodynamics
Mental Processes
Logistic Models","0.5937
0.7168
1.0000
1.0000
0.5819
0.6939
0.6773
0.7668
0.5772
0.5883"
"Implementation Science
JSLHR Supplement
Clinical Practice
Research Findings
Communication Disorders
Evidence-Based Practice
Intervention Research
Uptake of Evidence-Based Practice
Incorporation of Research Findings","Information Science
Suppositories
Professional Practice
Research Report
Communication Disorders
Evidence-Based Practice
Inventions
Evidence-Based Practice
Peer Review, Research","0.6410
0.5236
0.8958
0.7293
1.0000
1.0000
0.7139
0.8661
0.6700"
"Suicidal behavior
Measurement
Mechanisms
Risk assessment
Rating scales
Suicide rating scales
Columbia Suicide Severity Rating Scale (C-SSRS)
Suicide Tracking Scale (STS)
Sheehan Suicidality Tracking Scale (S-STS)
Subtypes of suicidal behavior/ideation","Suicidal Ideation
Cell Size
Mechanics
Risk Assessment
Psychiatric Status Rating Scales
Suicide
Psychiatric Status Rating Scales
Suicide
Suicide
Suicidal Ideation","0.8769
0.6867
0.7115
0.9517
0.6409
0.7211
0.5294
0.6087
0.5285
0.7069"
"Nanomedicine
Drug delivery
Virus capsids
Gold nanoshells
Photothermal therapy
Chemotherapy
Cancer therapy
Gene delivery
Antibacterial treatment
Anti-Alzheimer treatments
Rapid detection
Osteogenic differentiation","Nanomedicine
Drug Delivery Systems
Virus Internalization
Goldfish
Photochemotherapy
Chemotherapy, Adjuvant
Play Therapy
Surgeons
Anti-Bacterial Agents
Alzheimer Disease
Limit of Detection
Osteogenesis","1.0000
0.8570
0.7223
0.6092
0.8336
0.7706
0.6253
0.9801
0.7609
0.7066
0.7112
0.7404"
"Grand Challenges
Cross-disciplinary collaborations
Life sciences
Medical sciences
Historians
Philosophers
Interdisciplinarity
Transdisciplinarity
Goal-driven research
Resources
Background
Context
Study
Practice
Departure from existing literature","Grandparents
Interdisciplinary Communication
Social Sciences
Social Sciences
Social Values
Philosophy
Interinstitutional Relations
Intervertebral Disc Displacement
Support of Research
Dictionary
Methods
Nature
Population
Professional Practice
Literature, Modern","0.6184
0.7045
0.8352
0.8682
0.6987
0.8912
0.5625
0.5465
0.6957
0.8616
0.7168
0.5929
0.8817
0.8162
0.5878"
"Honey bees
Viruses
Pollination
Ecosystem service
Food security
Apiculture
Agriculture
Colony losses
Bumblebees
Research interest
Lake Sinai viruses
Bee macula-like virus
Apis mellifera filamentous virus
Mass spectrometry
RNAi approach","Water Supply
Viruses
Pollination
Ecosystem
Health Equity
Apnea
Agriculture
Colony Collapse
Bees
Conflict of Interest
SARS Virus
Xenotropic murine leukemia virus-related virus
Xenotropic murine leukemia virus-related virus
Tandem Mass Spectrometry
RNAi Therapeutics","0.9460
1.0000
1.0000
0.8374
0.6240
0.6956
1.0000
0.8286
0.6458
0.7401
0.6879
0.7000
0.6545
0.6397
0.7631"
"Bounded Rationality
History of Science
Knowledge Constraints
Scientific Practitioners
Material Contexts
Ideational Contexts
Assumptions and Commitments
Influential Portrayals
Responses to Bounded Rationality
History of Science Theory
Open Questions in the History of Science","Replication Origin
Social Sciences
Knowledge Bases
General Practitioners
Elements
Perceptual Defense
Decision Theory
Ventriculography, First-Pass
Rationalization
Ethical Theory
Peer Review, Research","0.5917
0.7385
0.7727
0.7408
0.6061
0.6087
0.6089
0.5851
0.6094
0.7280
0.6212"
"Bio-ontologies
Phenotypes
Special issue
SIG (Special Interest Group)
ISMB (Intelligent Systems for Molecular Biology)
Conference
Automated re-use
Update of ontologies
Quality assessment
Ontological resources
Phenotype variation
Manual description
Semi-automatic means
Fully automatic means","Bioethical Issues
Phenotype
Patient Rights
Focus Groups
Small Molecule Libraries
Clinical Conference
Automation
Biological Ontologies
Quality Improvement
Ontario
Phenotype
Manual Communication
Animal Technicians
Automation","0.6867
0.8858
0.6630
0.4994
0.6378
0.7954
0.6064
0.5949
0.6645
0.5795
0.7347
0.7431
0.5572
0.5166"
"Ionic messengers
Development
Cancer
Electrical fields
Ion channels
Transporters
Cell cycle
Proliferation
Differentiation
Embryonic patterning
Regeneration
Tumor development
Membrane potential
Bioelectric signaling pathways
Therapeutic applications","Ions
Plant Development
Acer
Electronics
Ion Channel Gating
Symporters
Cell Cycle
Porifera
Genetic Speciation
Embryology
Regeneration
Humor
Membrane Proteins
Bioelectric Energy Sources
Therapeutic Uses","0.5768
0.7800
0.7297
0.7696
0.7442
0.8599
0.9505
0.5673
0.6377
0.7809
1.0000
0.7278
0.8885
0.6793
0.6232"
"Healthcare safety
Quality improvement
Sociology
Technologies
Practices
Experiences
Organisation
Healthcare contexts
Management
Clinicians
Patients
Dilemmas
Mainstream approaches
Theory and practice
Future lines of inquiry","Delivery of Health Care
Quality Improvement
Sociology
Computer Systems
Percussion
Public Policy
Organizations
Health Care Sector
Management Audit
Physicians
Patients
Nipples
Visual Pathways
Grounded Theory
Support of Research","0.8171
0.9933
1.0000
0.8689
0.6756
0.6032
0.9025
0.7537
0.6125
0.7705
1.0000
0.6307
0.5486
0.6759
0.5414"
"Pediatric cardiac care
Congenital heart disease
Coronary arteries
Heart failure in children
International Symposium on Congenital Heart Disease
Annual Postgraduate Course in Paediatric Cardiovascular Disease
Continuing medical education
Foetus, neonate, infant, child, and adult cardiac disease
The Children's Hospital of Philadelphia
Johns Hopkins All Children's Heart Institute
Challenges and dilemmas in pediatric cardiology
Juan Valentín Comas
Donald Nixon Ross","Day Care, Medical
Heart Defects, Congenital
Coronary Angiography
Heart Failure
Heart Defects, Congenital
Cardiovascular Diseases
Education, Medical, Continuing
Cardiovascular Diseases
Philadelphia
National Heart, Lung, and Blood Institute (U.S.)
Cardiology Service, Hospital
Coxa Valga
Ross River virus","0.6803
0.7002
0.7143
0.7360
0.6025
0.5788
0.7871
0.5063
0.6236
0.5700
0.4942
0.5357
0.5761"
"Hypertension
Renin-angiotensin-aldosterone system (RAAS)
Primary aldosteronism (PA)
Cardiovascular risk factor
End-organ damage
Secondary form of hypertension
Antihypertensive medication
Clinical outcome
Survival","Hypertension
Renin-Angiotensin System
Hypoaldosteronism
Risk Factors
DNA Damage
Hypertension
Antihypertensive Agents
Survival
Survival","1.0000
0.7505
0.6952
0.6752
0.6606
0.7789
0.8322
0.6865
1.0000"
"Social psychology
Food choice
Nutrition
Environmental influences
Eating behavior
Healthy eating
Intentions
Perceived behavioral control
Self-efficacy
Fast food
Ready meals
Convenience meals
Disinhibition
Food cravings
Ecological Model of Behavior change","Environmental Psychology
Functional Food
Nutrition Assessment
Environmental Exposure
Homing Behavior
Ketogenic Diet
Intention
Behavior Control
Self Efficacy
Fast Foods
Fast Foods
Conscience
Inhibition (Psychology)
Food Preservation
Behavior and Behavior Mechanisms","0.7988
0.6711
0.8904
0.7658
0.7283
0.6707
0.6107
0.7621
0.8866
0.7553
0.6533
0.5355
0.6554
0.6668
0.7046"
"Bioprocess
Large scale production
Biotechnology
Mid-stream processes
Down-stream processes
Advances in bioprocess engineering
Asian Federation of Biotechnology
Special issue
Advances in Bioprocess Engineering","Biopolymers
Survival Rate
Biotechnology
Lateral Medullary Syndrome
Down Syndrome
Biochemical Processes
Biotechnology
Patient Rights
Biochemical Processes","0.7488
0.7295
1.0000
0.5285
0.5379
0.5798
0.6045
0.6630
0.6062"
"Pharmacology
Drug targets
Human drug targets
Concise Guide to PHARMACOLOGY
G protein-coupled receptors
Ligand-gated ion channels
Voltage-gated ion channels
Other ion channels
Nuclear hormone receptors
Catalytic receptors
Enzymes
Transporters
Nomencalture guidance
Pharmacological tools
IUPHAR classification and nomenclature","Pharmacology
Drug Evaluation
Drug Discovery
Phrenology
Receptors, G-Protein-Coupled
Ligand-Gated Ion Channels
NAV1.2 Voltage-Gated Sodium Channel
Sodium Ionophores
Thyroid Hormone Receptors beta
Catalytic Domain
Enzymes
Symporters
Splanchnic Nerves
Pharmacology
Nuphar","1.0000
0.8078
0.6832
0.5585
0.8242
0.7499
0.7106
0.6661
0.6874
0.6966
1.0000
0.8599
0.6280
0.7864
0.5711"
"Hearing loss
Children
Intervention
Outcomes
Early detection
Communication
Development
Bilateral hearing loss
Mild hearing loss
Unilateral hearing loss
HEAL Conference
Research forum
Narrative summary","Hearing Loss
Women
Inventions
Income
Diagnostic Services
Communication
Plant Development
Hearing Loss, Bilateral
Hearing Loss, Unilateral
Hearing Loss, Unilateral
Ear Canal
Support of Research
English Abstract","0.9521
0.9896
0.8088
0.7142
0.7071
1.0000
0.7800
0.8506
0.8284
0.8586
0.5947
0.6035
0.6375"
"Internet
Audiology
First International Meeting
Health care delivery
Hearing
Tinnitus
Balance
Treatment programs
Internet-based interventions
Adult hearing aid users
Second International Meeting","Internet
Audiology
International Agencies
Day Care, Medical
Hearing
Tinnitus
Barium
Treatment Failure
Inventions
Persons With Hearing Impairments
Meeting Abstracts","1.0000
1.0000
0.6961
0.7131
1.0000
1.0000
0.6377
0.7918
0.5514
0.6390
0.7604"
"Reactive oxygen species (ROS)
Reactive nitrogen species (RNS)
Nitric oxide (NO)
Signal transduction pathways
Plant growth
Development
Defence responses
Redox control
Post-translational modifications
Secondary messengers
Local and systemic signalling pathways
Oxidative stress
Inter-organellar regulation
Hypoxia
Molecular memories of stress","Reactive Oxygen Species
Reactive Nitrogen Species
Nitric Oxide
Signal Transduction
Growth
Plant Development
Defense Mechanisms
Rubredoxins
Protein Processing, Post-Translational
Second Messenger Systems
Signal Transduction
Oxidative Stress
Allosteric Regulation
Hyperoxia
Stress, Psychological","0.7143
0.6570
0.8300
0.8290
0.8619
0.7800
0.6649
0.7575
0.6479
0.6198
0.5517
0.8226
0.5778
0.9268
0.6424"
"Predictors
Treatment outcomes
Childhood mental health
Adolescent mental health
Dietary supplements
Mood disorders
Omega-3 fatty acids
Inositol
Pediatric bipolar spectrum disorders","Predatory Behavior
Program Development
Child Abuse
Adolescent
Dietary Supplements
Mood Disorders
Fatty Acids, Omega-3
Inositol
Bipolar and Related Disorders","0.5646
0.8269
0.7168
0.7421
0.8960
0.9413
0.8471
1.0000
0.6958"
"Teacher quality
Student success
Teacher effectiveness
Teacher evaluation
Teacher well-being
School psychologists
Educational professionals
Collaboration
Consultation
Teacher contributions
Classroom environment
Academic achievement
Social-emotional outcomes
Self-report measures
Teacher evaluation practices","Teaching
Student Dropouts
Teaching
Teaching
Teaching
Health Services
Education, Professional
Social Work
Consultants
Teaching
Classification
Achievement
Social Adjustment
Self Efficacy
Teaching","0.6354
0.8098
0.6856
0.6775
0.5967
0.9509
0.8289
0.7067
0.7865
0.6922
0.6339
0.6626
0.5672
0.5701
0.6296"
"Integrative psychotherapy
Schizophrenia
Recovery-oriented treatment
Serious mental illnesses
Identity changes
Sense of agency
Intervention integration
Therapist acceptance
Uncertainty
Stigma rejection
Meaning-making
Joint recovery promotion","Psychotherapy, Group
Schizophrenia
Narrative Therapy
Rare Diseases
Identity Crisis
Perceptual Defense
Inventions
Physical Therapist Assistants
Uncertainty
Social Stigma
Meaningful Use
Recovery of Function","0.8419
1.0000
0.6313
0.5788
0.5720
0.6007
0.6778
0.6587
1.0000
0.6696
0.6481
0.5459"
"Technoscience
Care
Multivocality
Definition
Legislation
Measurement
Evaluation
Context-specificity
Perspective-dependency
Researcher
Citizen","Microtechnology
Managed Care Programs
Viviparity, Nonmammalian
Dictionary
Legislation
Cell Size
Ethics
Environment, Controlled
Persons
Researcher-Subject Relations
Civil Defense","0.6307
0.7130
0.5308
0.7497
1.0000
0.6867
0.9629
0.5938
0.5373
0.7052
0.5896"
"Cardiovascular drugs
Innovation
China
Drug discovery
Themed section
Chinese research
Heart disease
Pharmaceuticals
Medical advancements
Healthcare
Biopharmaceuticals
Cardiovascular treatments","Cardiovascular Agents
Peer Review, Research
China
Drug Discovery
English Abstract
Clinical Study
Heart Diseases
Pharmaceutical Services
Medicalization
Health Care Surveys
Radiopharmaceuticals
Cardiovascular Agents","0.6822
0.6050
1.0000
0.9501
0.6785
0.8325
0.8648
0.8664
0.6365
0.7777
0.6936
0.7400"
"Pulmonary hypertension
Patient outcomes
Treatment options
Quality of life
Disease management
Impact assessment
Pulmonary arterial hypertension
Improved survival
Long-term care
PAH management","Hypertension, Pulmonary
Survival
Treatment Failure
Quality of Life
Disease Management
Needs Assessment
Hypertension, Pulmonary
Survival
Long-Term Care
Materials Management, Hospital","0.7881
0.6969
0.8294
0.9669
0.9675
0.5725
0.7048
0.8387
0.9124
0.5080"
"Carbohydrate-protein interactions
Glycosylation
Glycan synthesis
Recognition
Oligosaccharides
Glycoproteins
Glycolipids
Proteoglycans
Polysaccharides
Lectins
Immune system
Signal transduction
Development
Cancer metastasis
C-type lectins","Carbohydrate Sequence
Glycosylation
Glycogen
Cognition
Oligosaccharides
Glycoproteins
Glycolipids
Proteoglycans
Polysaccharides
Lectins
Immune System
Signal Transduction
Plant Development
Early Detection of Cancer
Lectins, C-Type","0.7545
1.0000
0.7314
0.8521
1.0000
1.0000
1.0000
1.0000
1.0000
1.0000
0.9478
0.8673
0.7800
0.6167
0.6146"
"Female fertility preservation
Oocyte cryopreservation
Ovarian tissue cryopreservation
Reproductive medicine
Biology
Disease treatment
Experimental treatment
Ethics issues
Infants
Adolescents
Young women","Fertility Preservation
Oocyte Donation
Ovariectomy
Reproductive Medicine
Biology
Disease Management
Gene Library
Ethics Consultation
Infant
Adolescent
Age Groups","0.8181
0.7162
0.6107
0.9155
1.0000
0.7851
0.9308
0.8162
0.9168
0.8820
0.6949"
"Developmental psychopathology
Ontogenic process models
Gene-environment interplay
Brain development
Synthesis
Abnormal psychology
Molecular genetics
Brain architecture
Environmental features
Individual development
Psychopathology
Elucidating processes","Psychology, Developmental
Odontoid Process
Gene-Environment Interaction
Brain
Photosynthesis
Environmental Psychology
Gene Frequency
Brain
Environment, Controlled
Personality Development
Psychopathology
Mental Processes","0.7846
0.6045
0.8483
0.7840
0.7338
0.7511
0.9754
0.7765
0.7621
0.7601
1.0000
0.5525"
"Idiopathic hypogonadotropic hypogonadism
GNRH1 gene mutations
Homozygous mutations
Decapeptide region
Mutational hot spots
Rare cause of nIHH
Familial cases
Clinical presentation
Diagnostic gene analysis","Hypogonadism
Gene Regulatory Networks
Mutation
Glycopeptides
Mutism
Hypohidrosis
Single-Parent Family
Case Reports
Gene Expression Profiling","0.8050
0.5512
0.7699
0.6333
0.6638
0.5578
0.6753
0.6758
0.7512"
"Big Data
Healthcare
Analytics
Health outcomes
Cost reduction
Clinical data
Predictive models
Processing methods
Challenges
Novel approaches","Machine Learning
Health Care Surveys
Analytic Sample Preparation Methods
Population Characteristics
Costs and Cost Analysis
Data Compression
Predatory Behavior
Methods
Patient Rights
Sampling Studies","0.6397
0.7777
0.5787
0.6283
0.8109
0.6771
0.5636
0.7601
0.7354
0.5498"
"Clinical decision-making
Computer replacement
Informatics progress
Usability improvement
Big data analytics
Regulatory compliance
Legal requirements
Reimbursement models
Quality improvement
Cost increase
Clinician augmentation","Clinical Decision-Making
Surgery, Computer-Assisted
Informatics
Pliability
Medical Informatics
Compliance
Legislation, Dental
Reimbursement Mechanisms
Quality Improvement
Cost Control
Physicians","0.9382
0.6321
0.7522
0.5426
0.6485
0.5481
0.6962
0.7581
0.9933
0.7420
0.5608"
"Italian Society of Pure and Applied Biophysics
Interdisciplinary science
Biophysical chemistry
National Congress
Molecular biophysics
Cellular biophysics
Integrative biophysics
Modern biophysics
SIBPA
Società Italiana di Biofisica Pura ed Applicata","Biophysics
Interdisciplinary Communication
Health Physics
Clinical Conference
Biophysics
Cell Physiological Processes
Biophysics
Biophysics
Pica
Fasciola","0.7248
0.8493
0.7300
0.7829
0.8147
0.7047
0.7174
0.8762
0.6011
0.5034"
"Editor's Perspective
Supplements
Forums
American Journal of Speech-Language Pathology
Clinical Forum
Research Forum
Dissemination formats
Contributions
Speech-Language Pathology","Editorial
Dietary Supplements
Posters as Topic
Rehabilitation of Speech and Language Disorders
Clinical Clerkship
Research
Information Dissemination
Manuscripts
Speech-Language Pathology","0.8300
0.7375
0.6246
0.6862
0.6121
0.7767
0.7551
0.7664
1.0000"
"Echinocandins
Translational research
Candida species
In vitro activity
In vivo activity
Central venous catheter biofilms
Treatment
Prevention
Candidemia
Invasive candidiasis
Extended dosing intervals
Administration","Echinocandins
Translational Medical Research
Candida
Biological Assay
Human Experimentation
Central Venous Catheters
Death
Secondary Prevention
Candidemia
Candidiasis, Invasive
Drug Administration Schedule
Administration, Oral","1.0000
0.6861
0.8623
0.6339
0.6460
0.5506
0.9823
0.7746
1.0000
0.7426
0.5520
0.7856"
"TSPO
mitochondrial stress response
protein function
applications
biomedicine
interdisciplinary research
state-of-the-art knowledge
special issue
human pathophysiology
clinical applications","Osteopontin
Mitochondria
CLOCK Proteins
Bookplates
Biomedical Research
Interdisciplinary Communication
Knowledge Bases
Science
Human Body
Models, Biological","0.6249
0.6013
0.6901
0.6850
0.5918
0.7933
0.6223
0.5504
0.5909
0.5805"
"Modeled claims
Costs and outcomes
Testable
Validation
Timeframe
Formulary committee
Methodological issues
UK experience
NICE
Formulary committee questions
Big Data
Modeled claims validation","England
Costs and Cost Analysis
Anonymous Testing
Validation Studies
Molecular Biology
Legislation
Social Problems
Europe
General Practice
Advisory Committees
Machine Learning
Confidence Intervals","0.5942
0.8282
0.7506
0.7521
0.6634
0.6737
0.5988
0.5764
0.6259
0.6676
0.6397
0.5579"
"Integrated models
Alcohol
Tobacco
Drug use interventions
Medical care
Implementation science
Substance use treatment
Integration
Health system integration
Empirical studies
Study protocols
Federal research priorities
Remaining research gaps","Integrative Medicine
Alcoholism
Tobacco
Drug Users
Medicalization
Computational Biology
Substance Abuse Treatment Centers
Integrative Medicine
Health Facility Administration
Empirical Research
Clinical Protocols
Support of Research
Support of Research","0.7091
0.8873
1.0000
0.8321
0.7831
0.6373
0.8318
0.7075
0.7630
0.8126
0.8047
0.6894
0.6228"
"Behavioral Neuroscience
International Society
Meeting
Research Collaborations
Young Investigators
Outreach and Education
Late-breaking Discoveries
Stress
Depression
Monoamine Systems
Substance Use Disorders
Attentional Processes
Brain Training","Behavioral Sciences
International Agencies
Meeting Abstracts
Support of Research
Research Personnel
Health Education
Biological Science Disciplines
Stress, Mechanical
Depression
Monoamine Oxidase Inhibitors
Substance-Related Disorders
Attitude
Brain","0.7991
0.6873
0.7829
0.7825
0.6089
0.7691
0.5572
0.8137
1.0000
0.6785
0.8953
0.6427
0.7449"
"Family physicians
New tools
Approaches
Patient care
Alternative care models
Diabetes education
Technology
Chronic hepatitis B
Social media
Rare disease","Family Health
Handbooks
Paint
Medical Staff
Managed Care Programs
Health Education
Technology
Hepatitis B, Chronic
Public Policy
Rare Diseases","0.7722
0.6654
0.7263
0.9605
0.6727
0.6638
1.0000
0.8957
0.8425
0.7166"
"Inflammation
Autoimmunity
Major histocompatibility complex (MHC) alleles
Sexual dimorphism
Hypothalamic-pituitary-adrenal (HPA) axis
Gut microbiota
Immune system
T helper subsets
Cytokines
Scavenger receptors
Inflammasome
Adipokines
Leptin
Adiponectin
Cytokines in immune pathology and therapy","Inflammation
Autoimmunity
Major Histocompatibility Complex
Bisexuality
Pituitary Hormones, Anterior
Fusobacteria
Immune System
Th2 Cells
Cytokines
Scavenger Receptors, Class F
Inflammasomes
Adipokines
Leptin
Adiponectin
Cytokinesis","1.0000
1.0000
0.7743
0.7498
0.6710
0.5602
0.9478
0.5941
1.0000
0.7986
0.7018
1.0000
1.0000
1.0000
0.6909"
"Good's Syndrome
Thymoma
Hypoimmunoglobulinemia
Surgery
Immunotherapy
Intravenous immunoglobulin G
Filgrastim
Recovery
Adequate surgical resection
Postoperative complications
Improved survival","Hallermann's Syndrome
Thymoma
Immunoglobulins
General Surgery
Immunotherapy
Immunoglobulins, Intravenous
Filgrastim
Recovery Room
Surgical Drapes
Operative Time
Survival","0.6905
1.0000
0.7486
0.9375
1.0000
0.7320
1.0000
0.7867
0.5929
0.8250
0.8387"
