LLM_Keywords,Year
"1. Ionic messengers
2. Development
3. Cancer
4. Electrical fields
5. Ion channels
6. Transporters
7. Cell cycle
8. Proliferation
9. Differentiation
10. Embryonic patterning
11. Regeneration
12. Tumor development
13. Membrane potential
14. Bioelectric signaling pathways
15. Therapeutic applications",2016
"1. Healthcare safety
2. Quality improvement
3. Sociology
4. Technologies
5. Practices
6. Experiences
7. Organisation
8. Healthcare contexts
9. Management
10. Clinicians
11. Patients
12. Dilemmas
13. Mainstream approaches
14. Theory and practice
15. Future lines of inquiry",2016
"1. Pediatric cardiac care
2. Congenital heart disease
3. Coronary arteries
4. Heart failure in children
5. International Symposium on Congenital Heart Disease
6. Annual Postgraduate Course in Paediatric Cardiovascular Disease
7. Continuing medical education
8. Foetus, neonate, infant, child, and adult cardiac disease
9. The Children's Hospital of Philadelphia
10. Johns Hopkins All Children's Heart Institute
11. Challenges and dilemmas in pediatric cardiology
12. Juan Valentín Comas
13. Donald Nixon Ross",2016
"1. Hypertension
2. Renin-angiotensin-aldosterone system (RAAS)
3. Primary aldosteronism (PA)
4. Cardiovascular risk factor
5. End-organ damage
6. Secondary form of hypertension
7. Antihypertensive medication
8. Clinical outcome
9. Survival",2016
"1. Social psychology
2. Food choice
3. Nutrition
4. Environmental influences
5. Eating behavior
6. Healthy eating
7. Intentions
8. Perceived behavioral control
9. Self-efficacy
10. Fast food
11. Ready meals
12. Convenience meals
13. Disinhibition
14. Food cravings
15. Ecological Model of Behavior change",2016
"1. Bioprocess
2. Large scale production
3. Biotechnology
4. Mid-stream processes
5. Down-stream processes
6. Advances in bioprocess engineering
7. Asian Federation of Biotechnology
8. Special issue
9. Advances in Bioprocess Engineering",2016
"1. Pharmacology
2. Drug targets
3. Human drug targets
4. Concise Guide to PHARMACOLOGY
5. G protein-coupled receptors
6. Ligand-gated ion channels
7. Voltage-gated ion channels
8. Other ion channels
9. Nuclear hormone receptors
10. Catalytic receptors
11. Enzymes
12. Transporters
13. Nomencalture guidance
14. Pharmacological tools
15. IUPHAR classification and nomenclature",2016
"1. Hearing loss
2. Children
3. Intervention
4. Outcomes
5. Early detection
6. Communication
7. Development
8. Bilateral hearing loss
9. Mild hearing loss
10. Unilateral hearing loss
11. HEAL Conference
12. Research forum
13. Narrative summary",2016
"1. Internet
2. Audiology
3. First International Meeting
4. Health care delivery
5. Hearing
6. Tinnitus
7. Balance
8. Treatment programs
9. Internet-based interventions
10. Adult hearing aid users
11. Second International Meeting",2016
"1. Reactive oxygen species (ROS)
2. Reactive nitrogen species (RNS)
3. Nitric oxide (NO)
4. Signal transduction pathways
5. Plant growth
6. Development
7. Defence responses
8. Redox control
9. Post-translational modifications
10. Secondary messengers
11. Local and systemic signalling pathways
12. Oxidative stress
13. Inter-organellar regulation
14. Hypoxia
15. Molecular memories of stress",2016
"1. Predictors
2. Treatment outcomes
3. Childhood mental health
4. Adolescent mental health
5. Dietary supplements
6. Mood disorders
7. Omega-3 fatty acids
8. Inositol
9. Pediatric bipolar spectrum disorders",2016
"1. Teacher quality
2. Student success
3. Teacher effectiveness
4. Teacher evaluation
5. Teacher well-being
6. School psychologists
7. Educational professionals
8. Collaboration
9. Consultation
10. Teacher contributions
11. Classroom environment
12. Academic achievement
13. Social-emotional outcomes
14. Self-report measures
15. Teacher evaluation practices",2016
"1. Integrative psychotherapy
2. Schizophrenia
3. Recovery-oriented treatment
4. Serious mental illnesses
5. Identity changes
6. Sense of agency
7. Intervention integration
8. Therapist acceptance
9. Uncertainty
10. Stigma rejection
11. Meaning-making
12. Joint recovery promotion",2016
"1. Technoscience
2. Care
3. Multivocality
4. Definition
5. Legislation
6. Measurement
7. Evaluation
8. Context-specificity
9. Perspective-dependency
10. Researcher
11. Citizen",2015
"1. Cardiovascular drugs
2. Innovation
3. China
4. Drug discovery
5. Themed section
6. Chinese research
7. Heart disease
8. Pharmaceuticals
9. Medical advancements
10. Healthcare
11. Biopharmaceuticals
12. Cardiovascular treatments",2016
"1. Pulmonary hypertension
2. Patient outcomes
3. Treatment options
4. Quality of life
5. Disease management
6. Impact assessment
7. Pulmonary arterial hypertension
8. Improved survival
9. Long-term care
10. PAH management",2016
"1. Carbohydrate-protein interactions
2. Glycosylation
3. Glycan synthesis
4. Recognition
5. Oligosaccharides
6. Glycoproteins
7. Glycolipids
8. Proteoglycans
9. Polysaccharides
10. Lectins
11. Immune system
12. Signal transduction
13. Development
14. Cancer metastasis
15. C-type lectins",2016
"1. Female fertility preservation
2. Oocyte cryopreservation
3. Ovarian tissue cryopreservation
4. Reproductive medicine
5. Biology
6. Disease treatment
7. Experimental treatment
8. Ethics issues
9. Infants
10. Adolescents
11. Young women",2016
"1. Developmental psychopathology
2. Ontogenic process models
3. Gene-environment interplay
4. Brain development
5. Synthesis
6. Abnormal psychology
7. Molecular genetics
8. Brain architecture
9. Environmental features
10. Individual development
11. Psychopathology
12. Elucidating processes",2016
"1. Idiopathic hypogonadotropic hypogonadism
2. GNRH1 gene mutations
3. Homozygous mutations
4. Decapeptide region
5. Mutational hot spots
6. Rare cause of nIHH
7. Familial cases
8. Clinical presentation
9. Diagnostic gene analysis",2016
"1. Big Data
2. Healthcare
3. Analytics
4. Health outcomes
5. Cost reduction
6. Clinical data
7. Predictive models
8. Processing methods
9. Challenges
10. Novel approaches",2016
"1. Clinical decision-making
2. Computer replacement
3. Informatics progress
4. Usability improvement
5. Big data analytics
6. Regulatory compliance
7. Legal requirements
8. Reimbursement models
9. Quality improvement
10. Cost increase
11. Clinician augmentation",2016
"1. Italian Society of Pure and Applied Biophysics
2. Interdisciplinary science
3. Biophysical chemistry
4. National Congress
5. Molecular biophysics
6. Cellular biophysics
7. Integrative biophysics
8. Modern biophysics
9. SIBPA
10. Società Italiana di Biofisica Pura ed Applicata",2016
"1. Editor's Perspective
2. Supplements
3. Forums
4. American Journal of Speech-Language Pathology
5. Clinical Forum
6. Research Forum
7. Dissemination formats
8. Contributions
9. Speech-Language Pathology",2016
"1. Echinocandins
2. Translational research
3. Candida species
4. In vitro activity
5. In vivo activity
6. Central venous catheter biofilms
7. Treatment
8. Prevention
9. Candidemia
10. Invasive candidiasis
11. Extended dosing intervals
12. Administration",2016
"1. TSPO
2. mitochondrial stress response
3. protein function
4. applications
5. biomedicine
6. interdisciplinary research
7. state-of-the-art knowledge
8. special issue
9. human pathophysiology
10. clinical applications",2016
"1. Modeled claims
2. Costs and outcomes
3. Testable
4. Validation
5. Timeframe
6. Formulary committee
7. Methodological issues
8. UK experience
9. NICE
10. Formulary committee questions
11. Big Data
12. Modeled claims validation",2016
"1. Integrated models
2. Alcohol
3. Tobacco
4. Drug use interventions
5. Medical care
6. Implementation science
7. Substance use treatment
8. Integration
9. Health system integration
10. Empirical studies
11. Study protocols
12. Federal research priorities
13. Remaining research gaps",2016
"1. Behavioral Neuroscience
2. International Society
3. Meeting
4. Research Collaborations
5. Young Investigators
6. Outreach and Education
7. Late-breaking Discoveries
8. Stress
9. Depression
10. Monoamine Systems
11. Substance Use Disorders
12. Attentional Processes
13. Brain Training",2016
"1. Family physicians
2. New tools
3. Approaches
4. Patient care
5. Alternative care models
6. Diabetes education
7. Technology
8. Chronic hepatitis B
9. Social media
10. Rare disease",2016
"1. Inflammation
2. Autoimmunity
3. Major histocompatibility complex (MHC) alleles
4. Sexual dimorphism
5. Hypothalamic-pituitary-adrenal (HPA) axis
6. Gut microbiota
7. Immune system
8. T helper subsets
9. Cytokines
10. Scavenger receptors
11. Inflammasome
12. Adipokines
13. Leptin
14. Adiponectin
15. Cytokines in immune pathology and therapy",2016
"1. Good's Syndrome
2. Thymoma
3. Hypoimmunoglobulinemia
4. Surgery
5. Immunotherapy
6. Intravenous immunoglobulin G
7. Filgrastim
8. Recovery
9. Adequate surgical resection
10. Postoperative complications
11. Improved survival",2016
"1. Communication
2. Reproduction
3. Histories
4. Esoteric ideas
5. Practical activities
6. Continuities
7. New technologies
8. Storytelling
9. Expertise
10. Knowledge
11. Ignorance
12. Secrecy
13. Propriety",2015
"1. Cancer mechanisms
2. Tumor suppressor genes
3. Oncogenes
4. Apoptosis regulation
5. Intracellular signaling cascades
6. Epithelial to mesenchymal transition
7. Intra-tumor heterogeneity
8. MicroRNAs in cancer
9. Notch signaling
10. PARP inhibitors
11. TRAIL resistance
12. Histone modifications
13. Viscum album
14. Apoptotic cell death
15. ASPP family in cancer",2016
"1. Microbiome
2. Human reproduction
3. Second human genome
4. Microbial cells
5. Symbiotic relationship
6. Complex interaction
7. Reproductive tract
8. Gametogenesis
9. Technologic revolution
10. Biofilms
11. Health and disease",2016
"1. Biodiesel
2. Petroleum-diesel
3. Toxicity
4. Mutagenicity
5. Emissions
6. Health effects
7. Nonhuman animal models
8. Lung
9. Cardiovascular system
10. Acute exposure
11. Repeated exposure
12. Physicochemical composition
13. Life cycle analysis",2016
"1. Repetitive DNA
2. Eukaryotic genomes
3. High-throughput sequencing
4. Bioinformatics
5. Chromosomal studies
6. Satellite DNAs
7. Transposable elements
8. Centromeres
9. Subtelomeric regions
10. Genomic organization
11. Sequence variation
12. Transcription activity
13. Evolutionary modes
14. Conservation and variability
15. Functional consequences",2016
"1. Louisville Twin Study
2. Revival
3. Behavior genetics
4. Cognitive development
5. Gene-environment interaction
6. Presentation
7. Kentucky
8. Expanded analysis
9. Continuity
10. Influence",2016
"1. Environmental stressors
2. Toxic effects
3. Physicochemistry
4. Transformation
5. Ecosystems
6. Engineered nanoparticles
7. Pharmaceuticals
8. Personal care products
9. Antibiotics
10. Pathogens
11. Heavy metals
12. Agricultural nutrients
13. Environmental control
14. Toxicity evaluation
15. Future directions",2016
"1. Percussive technology
2. Human evolution
3. Comparative approach
4. Fossil primates
5. Living primates
6. Stone Age ancestors
7. Lithic artefacts
8. Pounding activities
9. Evolutionary implications
10. Primatology
11. Archaeology
12. Anatomical constraints
13. Cognitive constraints
14. Ecological constraints
15. Functional significance",2016
"1. Optical design
2. Testing
3. Applications
4. Industrial
5. Military
6. Consumer
7. Bio-medical
8. Research
9. Image optical stimuli
10. Nonimage optical stimuli
11. Human perception
12. Optics applications
13. Bio-optics applications
14. Displays
15. Solar energy systems
16. Novel imaging modalities
17. Deep UV spectral imaging
18. Infrared spectral imaging
19. Systems perspective
20. Optical measurement
21. Concepts
22. Trends
23. Optics systems",2016
"1. Neurodegenerative diseases
2. Pharmacotherapy
3. Unmet medical needs
4. Public health
5. Healthcare system
6. Medical advances
7. Biology of neurodegenerative conditions
8. Novel clinical pharmacology tools
9. Clinical trial designs
10. Regulatory innovation
11. Symptomatic pharmacotherapies
12. Disease-modifying pharmacotherapies",2016
"1. Vaccinology
2. Japanese Society for Vaccinology
3. Infectious disease outbreak
4. Vaccine development
5. Immunology
6. Epidemiology
7. Varicella vaccine
8. Smallpox vaccine
9. Academic organization
10. International society
11. New vaccines
12. Basic vaccinology
13. Epidemiology of vaccine-preventable diseases
14. Evaluation of currently used vaccines",2016
"1. Reptile placentology
2. Viviparous lizard
3. Cesare Studiati
4. Placenta
5. Mammalian parallels
6. Histological techniques
7. Evolutionary milieu
8. Chalcides chalcides
9. Placentotrophic species
10. Nutrient provision
11. Oxygen supply
12. Functional role of placental tissues
13. Species specializations",2016
"1. Mental health
2. Future generations
3. Culture change
4. Well-being
5. Sociodemographics
6. Labor market trends
7. Young people
8. Transition to adulthood
9. Symposium
10. American Orthopsychiatric Association",2016
"1. Conservation initiatives
2. Protected areas
3. Environmental impacts
4. Social impacts
5. Human pressures
6. Biological diversity
7. Ecosystem services
8. Scientific evidence
9. Evaluation designs
10. Conservation funders
11. Practitioners
12. Credible evidence
13. Societal goals
14. Human welfare",2016
"1. Proton therapy
2. Cancer treatment
3. Animal study
4. Fruit ripening agent
5. Toxicity
6. Excessive doses
7. Genetics
8. Stroke
9. Childhood leukemia",2016
"1. Pitheciid research
2. Neotropical primates
3. Ecology
4. Behavior
5. Conservation
6. Hypothesis-driven research
7. Comparative biology
8. Primatology
9. Conversation priorities
10. Family biology",2016
"1. Aesthetic turn
2. Sociology
3. Social aesthetic
4. Guest editors' introduction
5. Special section
6. Emerging interest
7. Aesthetics and sociality
8. Instrumentalist understandings
9. Reductive understandings
10. Social critique
11. Modernist conceptions
12. Mundane search
13. Everyday experience
14. Cultural reproduction
15. Embodied process of meaning making",2017
"1. Stem cells
2. Engineering
3. Biotechnology
4. In vitro diagnostics
5. In vivo therapeutics
6. Advances
7. Translation
8. Commercial products
9. Clinical products",2016
"1. Mental health
2. Primary care
3. Low- and middle-income countries
4. PRIME mental healthcare plans
5. District mental healthcare plans
6. Development
7. Piloting
8. Evaluation
9. Costing
10. Innovations
11. Challenges",2016
"1. DNA barcoding
2. International Barcode of Life
3. Global research community
4. Conference
5. Biomes
6. Applications
7. Socio-economic importance
8. Agricultural pests
9. Quarantine species
10. Wildlife forensics
11. Disease vectors
12. Ecosystem health
13. Marketplace surveys
14. Seafood products
15. Medicinal plants
16. Metabarcoding
17. Dietary analyses
18. Food webs
19. Trophic levels
20. Next-generation sequencing
21. Taxonomic scope
22. Geographic scope
23. Community shifts
24. Climate change
25. Biological resources",2016
"1. Shame
2. Psychoanalytic theory
3. Practice
4. Leon Wurmser
5. Claude Janin
6. John Steiner
7. Concept development
8. Guilt
9. Object relations
10. Identity
11. Psychic retreat
12. Gaze",2016
"1. Drug discovery
2. Model systems
3. Laboratory animals
4. Microorganisms
5. Cell-based systems
6. Tissue-based systems
7. Disease treatment
8. Therapeutics
9. Special Collection
10. Academia and industry collaboration
11. Original research articles
12. Insights
13. Impact",2016
"1. Mentalization
2. Borderline personality disorder
3. Translational research
4. Mentalization-based therapy
5. Capacity to reflect
6. Mind of others
7. Self-reflection
8. Medical disorders
9. Personality disorder
10. Translational criteria
11. Evaluation
12. Potential usefulness",2016
"1. Ejaculatory problems
2. Male infertility
3. Dysfunctions
4. Fertility
5. Confused terms
6. Normal male function
7. Evaluation
8. Management
9. Causes
10. Male ejaculatory process",2016
"1. Phenomenology
2. Philosophy
3. Science
4. Two cultures
5. Cross-fertilization
6. Integration
7. Multiple reviewers
8. Patience
9. Dedication
10. Elsevier editorial and production team
11. Synoptic overview",2016
"1. Genetics
2. Intelligence
3. Whole genome sequencing
4. Large sample sizes
5. Study participants
6. Center for Talented Youth
7. Johns Hopkins University
8. Ethics
9. Research
10. Workshop
11. The Hastings Center
12. Transformative conversation
13. General cognitive ability",2015
"1. Pediatric complex care
2. Medical complexity
3. Policy
4. Health care reform
5. Professional identity
6. Workforce development
7. High quality research
8. Consensus method",2016
"1. Biomedical science
2. Engineering
3. International conference
4. Biotechnology
5. Shanghai
6. August 2015
7. Biomaterials
8. Bioinformatics
9. Computational biology
10. Biomedical imaging
11. Signal processing
12. Biomechanical engineering
13. Advances in biomedical engineering and biotechnology",2016
"1. Program implementation
2. Essential study
3. Social-Emotional Learning interventions
4. Prevention Science special issue
5. Implementation research
6. Readiness to implement
7. Future work priorities",2016
"1. Pediatric oncology
2. Psychosocial care
3. Standards development
4. Evidence-based practice
5. Collaboration
6. Interdisciplinary team
7. Systematic review
8. AGREE II process
9. Essential psychosocial care
10. Children with cancer
11. Families
12. Special issue",2016
"1. Evidence-based health informatics
2. Benchmarking
3. Good information systems
4. Telemonitoring
5. Cancer incidence rates
6. Parametric tests
7. Annual Conference of the German Society of Medical Informatics, Biometry and Epidemiology
8. Data harmonization
9. Surveillance in obstetrics
10. Adaptive designs
11. Patient registries
12. Signal processing",2016
"1. Humanitarian aid
2. Historical perspectives
3. Improving humanitarian responses
4. Disasters special issue
5. History of humanitarian action
6. Nineteenth-century to present day
7. Value of history
8. Habitual ways of thinking
9. Investigation and interpretation skills
10. Critical questioning
11. Humanitarian practitioners
12. Policymakers
13. Reflective attitude to change
14. Holistic approach to innovation",2016
"1. Ion channels
2. Membrane-spanning proteins
3. Biophysical processes
4. Electrical signals
5. Action potentials
6. Neuronal communication
7. Heart beat coordination
8. Insulin secretion
9. Immune response
10. Drug targets
11. Inherited ion channel dysfunction
12. Acquired ion channel dysfunction
13. Disease causes",2016
"1. Adult development
2. Psychotherapist
3. Psychotherapy work
4. First person narratives
5. Empirical report
6. Senior therapists
7. Challenges
8. Demands
9. Rewards
10. Fulfilling
11. Meaningful
12. Wiser therapist
13. Effective therapist
14. Personal experience
15. Professional experience",2016
"1. Farmworker
2. Housing quality
3. Health
4. Transdisciplinary conference
5. Research
6. Practice
7. Knowledge consolidation
8. Housing characteristics
9. Quality assessment
10. Health and safety
11. Policy development
12. Working groups
13. Implementation
14. Education
15. Engineering projects",2016
"1. Pediatric heart failure
2. International summit
3. Johns Hopkins All Children's Heart Institute
4. Acute hospitalization
5. Cardiology research
6. Multi-disciplinary collaboration
7. Andrews/Daicoff Cardiovascular Program Endowment
8. Morsani College of Medicine at the University of South Florida
9. Paediatric heart failure treatment
10. Clinical and scientific disciplines
11. Think-tank approach
12. Proceedings of the 2015 International Pediatric Heart Failure Summit
13. Cardiovascular surgery research
14. George R. Daicoff, MD
15. Sarainne Andrews",2016
"1. Feedback interventions
2. Psychotherapy research
3. Treatment outcomes
4. Patient risk
5. Moderators and mediators
6. Routine care implementation
7. Therapist attitudes
8. Patient attitudes
9. Feedback systems
10. Feedback reports
11. Decision support tools
12. Treatment failure reasons
13. Therapist interventions
14. Future endeavors",2016
"1. Dissemination
2. Evidence-based interventions
3. Social science
4. Program scaling
5. Sustainability
6. Intervention implementation
7. Service providers
8. Challenges
9. Supports
10. Awareness",2016
"1. Feminism
2. Psychology
3. Gender
4. Sexuality
5. Psy-disciplines
6. Histories
7. Trajectories
8. Conjoined
9. Tensions
10. Interventions
11. Methodologies
12. Populations
13. Epistemology
14. Common cause",2015
"1. Pragmatic clinical trials
2. Ethical issues
3. Regulatory challenges
4. High-quality evidence
5. Health decision making
6. Information and communication technologies
7. Novel techniques
8. Cost-effective research methods
9. Clinical practice
10. Decision informing
11. National Institutes of Health
12. Patient-Centered Clinical Research Network (PCORnet)
13. Regulatory oversight
14. Ethical considerations
15. Real-world choices",2016
"1. Exposome
2. Mathematics
3. Biology
4. Exposomics
5. Proof-of-principle
6. Epigenome-wide methylation studies
7. Smoking
8. Carcinogenesis
9. Stem cells
10. Evolutionary theory
11. Breakthroughs",2016
"1. OMICS
2. Plant disease resistance
3. Genetic improvement
4. Crop resistance
5. Next-generation sequencing
6. Mass spectrometry
7. Genomics
8. Transcriptomics
9. Proteomics
10. Metabolomics
11. Agricultural research",2017
"1. Endometriosis
2. Management
3. Problem-oriented approach
4. Patient-centered care
5. Deep endometriosis
6. Infertility
7. Pelvic pain
8. Quality of life
9. Pregnancy
10. Delivery
11. Post-partum period
12. Conservative surgery
13. Recurrence prevention
14. Ovarian cancer risk
15. Screening program
16. Treatment of symptoms
17. Shared decision-making
18. Counseling",2016
"1. Non-neuronal cholinergic system
2. Biological significance
3. Medical significance
4. MiRNAs
5. Molecular mechanisms
6. Cholinergic cellular signaling circuitries
7. Cancer
8. Wound healing
9. Immunity and inflammation
10. Cardiovascular diseases
11. Respiratory diseases
12. Clinical implications",2016
"1. Autism Spectrum Disorder
2. Occupational Therapy
3. Families
4. Research
5. Clinical Practice
6. Advocacy
7. Consumer Education
8. Needs
9. Services
10. Awareness",2015
"1. Humanities
2. Sciences
3. History
4. Separate cultures
5. Epistemic objects
6. Virtues
7. Values
8. Methods
9. Practices
10. Shared aspects
11. Interdisciplinary study",2015
"1. Prediction
2. Attention
3. Perception
4. Action
5. Brain functions
6. Neural models
7. Sensory information
8. Action-related information
9. Information flow
10. Interactions
11. Emerging field
12. Functional principles",2016
"1. Cognitive Diversity
2. Anthropological Perspectives
3. Cognition
4. Cross-Cultural Research
5. Synergies
6. Rapprochement
7. Anthropology
8. Cognitive Sciences
9. Existence Proof",2016
"1. Heterogeneity
2. Treatment response
3. First-episode schizophrenia
4. Biomarker development
5. Neuroimaging
6. Neurocognitive measures
7. Genetic measures
8. Clinical response
9. Interventions
10. Psychotic illness
11. Comorbidity
12. Predictive models
13. Treatment targets
14. Effective intervention strategies",2016
"1. Rare pulmonary diseases
2. Orphan drugs
3. Diagnosis
4. Management
5. Interstitial lung disease
6. Pulmonary hypertension
7. Economic impact
8. Social impact
9. Public health
10. Medical community
11. Limited experience
12. Uncommon diseases",2016
"1. Skin as a target organ
2. Multisystemic diseases
3. Systemic involvement
4. Lichen planus
5. Autoinflammatory syndromes
6. Pyoderma gangrenosum
7. Scleroderma
8. Lyme disease
9. Herpes simplex
10. Mycosis fungoides",2016
"1. Monogamy
2. Primates
3. Variability
4. Trends
5. Synthesis
6. Introduction
7. Special issue
8. Social characteristics
9. Genetic monogamy
10. Social structures
11. Mating patterns
12. Breeding systems
13. Definitions
14. Wild primates
15. Captive studies",2016
"1. Digestive tract cancers
2. Surgery complications
3. Postoperative care
4. Nutritional support
5. Peri-operative nutrition
6. Malnutrition screening
7. Treatment plan
8. Good clinical practices guide",2016
"1. Orchidaceae
2. Conservation
3. Interactions
4. Mycorrhizal fungi
5. Pollinators
6. Host trees
7. Challenges
8. Factors
9. Papers
10. Orchids",2016
"1. Uric acid
2. Cardiovascular risk
3. Consensus meeting
4. University Magna Graecia
5. Catanzaro, Italy
6. May 2014
7. International Journal of Cardiology
8. Special issue
9. Cardiovascular disorders
10. Uric acid role",2017
"1. Hypnosis
2. Lecture
3. Jay Haley
4. Gregory Bateson
5. Milton Erickson
6. Trance induction
7. Multiple personalities
8. Regression to past lives
9. False memories
10. History of hypnosis",2017
"1. Autohypnosis
2. Trance Dance
3. Bali
4. Gregory Bateson
5. Margaret Mead
6. Jay Haley
7. Madeleine Haley
8. Historical importance
9. Culture
10. Society
11. Emotion regulation
12. Violence regulation",2017
"1. Dissociative disorders
2. Multiple personality
3. Supervision
4. Therapist training
5. Case study
6. Jay Haley
7. Treatment techniques
8. Complexity
9. Early literature
10. Supervision style",2017
