id,title,publication_date,abstract,MeSH
26775867,Application of ecological and mathematical theory to cancer: New challenges.,2016-01-19,"According to the World Health Organization, cancer is among the leading causes of morbidity and mortality worldwide. Despite enormous efforts of cancer researchers all around the world, the mechanisms underlying its origin, formation, progression, therapeutic cure or control are still not fully understood. Cancer is a complex, multi-scale process, in which genetic mutations occurring at a sub-cellular level manifest themselves as functional changes at the cellular and tissue scale.","Ecology|Humans|Mathematical Concepts|Models, Biological|Neoplasms"
26768905,Writing within an international context.,2016-01-16,"For Health Information and Libraries Journal, 2015 has had a distinctly international feel to it, something we have consciously been fostering for the past eight years. This issue is no exception in mirroring the journal's Regular Feature International Perspectives and Initiatives, edited by Jeannette Murphy, in shining a light on the best international practice the health information and libraries sector has to offer.",Humans|Internationality|Publishing|Writing
26752565,Genetic Testing: Understanding the Personal Stories.,2016-01-12,"Twelve personal narratives address the challenges, benefits, and pitfalls of genetic testing. Three commentary articles explore these stories and suggest lessons that can be learned from them. The commentators come from backgrounds that include bioethics, public health, psychology, and philosophy.",Genetic Testing|Humans|Personal Narratives as Topic
26752385,Teaching and Learning the Techniques of Conflict Resolution for Challenging Ethics Consultations.,2016-01-12,"Professional mediators have long possessed a skill set that is uniquely suited to facilitation of difficult conversations between and among individuals in emotionally charged situations. This skill set has increasingly been recognized as invaluable to the work of clinical ethics consultants as they navigate conflicts involving families, surrogates, and providers. Given widespread acknowledgment that communication difficulties lie at the root of many clinical ethics conflicts, mediation offers techniques to enhance communication between conflicting parties. This special section of The Journal of Clinical Ethics focuses on core aspects of the mediation process designed for effective management of clinical conflict emanating from communication breakdowns, highly charged value conflicts, and instances of perceived disrespect.",Clinical Decision-Making|Communication|Conflict of Interest|Ethicists|Ethics Consultation|Family|Goals|Health Personnel|Humans|Negotiating|Patient-Centered Care|Problem Solving|Problem-Based Learning|Teaching
26752381,Mediation Approaches at the Beginning or End of Life.,2016-01-12,"The approaches used in mediation may help ethics consultants, especially in difficult cases. In this piece, I primarily discuss these techniques. I also discuss how clinicians may be of the most help to parents of infants with severe genetic conditions, to research participants, and to patients who may be at risk for Alzheimer's disease and their surrogate decision makers.","Aged|Alzheimer Disease|Caregivers|Clinical Decision-Making|Congenital Abnormalities|Decision Making|Emotions|Ethicists|Ethics Committees, Clinical|Ethics Consultation|Humans|Infant|Negotiating|Parents|Practice Guidelines as Topic|Prader-Willi Syndrome|Research|Suicidal Ideation"
26746134,Introduction: Male fertility preservation: innovations and questions.,2016-01-10,"It is now well established that many benign or malignant diseases may by themselves or as result of treatment, impair male fertility. Therefore, preserving the potential of becoming a genetic father represents a major issue. Besides sperm cryopreservation, which is the most reliable method for male fertility preservation, other strategies have more recently emerged, especially in prepubertal boys. Prepubertal germ cell storage from testicular sperm extraction and derivation of male gametes from stem cells may represent a future hope, although raising many ethical issues.","Age Factors|Cryopreservation|Fertility|Fertility Preservation|Humans|Infertility, Male|Male|Puberty|Risk Factors|Semen Preservation|Spermatogenesis"
26730497,Introduction: Examining the many potential reasons why euploid blastocysts do not always result in viable pregnancies: part 1.,2016-01-06,"The environment of the oocyte and embryo includes the metabolic effects of aging, lifestyle issues, psychological stress, nutritional supplements/replacements, cellular energy levels, endocrine and paracrine factors, the cumulus, exogenous gonadotropins and adjunctive medications, culture media, and the in vitro fertilization laboratory's conditions and manipulations. These complex factors, which will be examined in the following series of reviews, explain in part why not all euploid blastocysts result in viable pregnancies.","Age Factors|Animals|Blastocyst|Embryo Implantation|Embryo Transfer|Female|Fertility|Fertilization in Vitro|Humans|Infertility|Life Style|Oocyte Retrieval|Oocytes|Pregnancy|Reproductive Techniques, Assisted|Risk Factors|Stress, Physiological|Stress, Psychological|Treatment Failure"
26723585,"Preface: Special Topic on Coarse Graining of Macromolecules, Biopolymers, and Membranes.",2016-01-03,"This special issue highlights new developments in theory and coarse-graining in biological and synthetic macromolecules and membranes. Such approaches give unique insights into the principles and design of the structures, dynamics, and assembly processes of these complex fluids and soft materials, where the length and time scales are often prohibitively long for fully atomistic modeling.",Biopolymers|Macromolecular Substances|Molecular Dynamics Simulation|Molecular Structure|Thermodynamics
26720409,From the Editor: An Introduction to the JSLHR Supplement on Implementation Science.,2016-01-01,"The JSLHR Supplement on Implementation Science is aimed at providing discussion and examples of research in implementation science, the study of methods designed to promote the incorporation of research findings into clinical practice.
Practitioners in the language science area were invited to submit articles that address their experience with various aspects of implementation science.
Six articles from several research groups comprise this supplement.
Implementation science is an aspect of intervention research that merits consideration by communication disorders scientists. More extensive practice of implementation science will improve uptake of evidence-based practice in the clinical community.",Biomedical Research|Communication Disorders|Evidence-Based Practice|Health Plan Implementation|Humans|Research Design|Speech-Language Pathology
26717527,Suicidal behavior: measurement and mechanisms.,2015-12-31,"This issue of Focus on Suicide brings us new data about risk assessment, with 2 articles examining the utility of rating scales for assessment of suicidal behavior. Youngstrom et al conduct a careful comparison of 3 suicide rating scales: the Columbia Suicide Severity Rating Scale (C-SSRS), the Suicide Tracking Scale (STS), and the Sheehan Suicidality Tracking Scale (S-STS). While the scales did comparably in 2 broad categories, suicidal ideation and suicide attempts, the study suggests that some subtypes of suicidal behavior/ideation are not captured as well by the S-STS.",Humans|Suicide|Suicide Prevention
26711967,Special issue of ChinaNanomedicine 2015.,2015-12-30,"The special issue of ChinaNanomedicine 2015 is the invited contributions from the attendees of the 1st International Conference on Nanomedicine (ChinaNanomedicine 2015, Hangzhou, China), the inaugural conference of the Chinese Society for Nanomedicine. The content includes using natural virus capsids and capsid-mimicking nanostructures for efficient drug delivery, gold nanoshell capsules for photothermal therapy and chemotherapy, codelivery of drugs and genes for cancer therapy as well as nanomedicine applications in antibacterial and anti-Alzheimer treatments, and rapid detection of early osteogenic differentiation.",Alzheimer Disease|Bacterial Infections|Biomimetic Materials|Capsid|China|Drug Delivery Systems|Gold|Humans|Nanomedicine|Nanoshells|Nanostructures|Neoplasms
26705674,Introduction-Grand Challenges and small steps.,2015-12-27,"This collection addresses two different audiences: 1) historians and philosophers of the life sciences reflecting on collaborations across disciplines, especially as regards defining and addressing Grand Challenges; 2) researchers and other stakeholders involved in cross-disciplinary collaborations aimed at tackling Grand Challenges in the life and medical sciences. The essays collected here offer ideas and resources both for the study and for the practice of goal-driven cross-disciplinary research in the life and medical sciences. We organise this introduction in three sections. The first section provides some background and context. The second motivates our take on this topic and then outlines the central ideas of each paper. The third section highlights the specificity and significance of this approach by considering: a) how this collection departs from existing literature on inter- and trans-disciplinarity, b) what is characteristic about this approach, and c) what role this suggests for the history and philosophy of the life sciences in addressing Grand Challenges.",Biological Science Disciplines|Interdisciplinary Communication
"26702462
18926704
19427214
24421873
19909973
32846659
24449751
21687739
17765703
18635091
25196470
26184284
26008705
26154017
16641291
25725149
26110586
22927991
4968339
5827552
18243390
17933946
17949741
17166598
18079012
26110588
17823314
20804765
19909972
20401479
20423694
19196347
21203478
20379718
22690671
18024913
25954053
21203504
23449997
24553241
26110584
24130869",Special Issue: Honey Bee Viruses.,2015-12-26,"Pollination of flowering plants is an important ecosystem service provided by wild insect pollinators and managed honey bees. Hence, losses and declines of pollinating insect species threaten human food security and are of major concern not only for apiculture or agriculture but for human society in general. Honey bee colony losses and bumblebee declines have attracted intensive research interest over the last decade and although the problem is far from being solved we now know that viruses are among the key players of many of these bee losses and bumblebee declines. With this special issue on bee viruses we, therefore, aimed to collect high quality original papers reflecting the current state of bee virus research. To this end, we focused on newly discovered viruses (Lake Sinai viruses, bee macula-like virus), or a so far neglected virus species (Apis mellifera filamentous virus), and cutting edge technologies (mass spectrometry, RNAi approach) applied in the field.",Animals|Bees|Biomedical Research|Virology|Viruses
26685520,Focus: Bounded Rationality and the History of Science. Introduction.,2015-12-22,"Historians of science see knowledge and its claimants as constrained by myriad factors. These limitations range from the assumptions and commitments of scientific practitioners to the material and ideational contexts of their practice. The precise nature of such limits and the relations among them remains an open question in the history of science. The essays in this Focus section address this question by examining one influential portrayal of constraints--Herbert Simon's theory of ""bounded rationality""--as well as the responses to which it has given rise over the last half century.","History, 19th Century|History, 20th Century|Knowledge|Science"
"26682035
24316646
26034558
25848530
26005564
25825651
25789153
25815161
25866612
25901272",Special issue on bio-ontologies and phenotypes.,2015-12-19,"The bio-ontologies and phenotypes special issue includes eight papers selected from the 11 papers presented at the Bio-Ontologies SIG (Special Interest Group) and the Phenotype Day at ISMB (Intelligent Systems for Molecular Biology) conference in Boston in 2014. The selected papers span a wide range of topics including the automated re-use and update of ontologies, quality assessment of ontological resources, and the systematic description of phenotype variation, driven by manual, semi- and fully automatic means.",Biological Ontologies|Humans|Phenotype
26679943,Ionic messengers in development and cancer.,2015-12-19,"The idea that electrical fields can influence the development of an organism is not new. Electrical fields in cells are mainly due to the presence of channels which are permeable and selective for different ions and transporters. Modulation of their activities can affect cell cycle properties, proliferation and differentiation.Electrical fields are important for embryonic patterning, regeneration and tumour development. Membrane potential is a permanent signal which allows communication between cells, tissues and organs and has to be considered to have the same importance as biochemical signals. The activity of ion channels and pumps which maintain the electrical fields can now be dissected and visualized with new tools involving fluorescent reporters.Despite the fact that our understanding, at the molecular level, of the role of bioelectric signaling pathways, ion currents, voltage and pH gradients in developmental biology and tumor progression is increasing, therapeutic applications of this knowledge still appears to be far away. For the moment, research priorities seem to be on establishing the links between biochemical events, genetic regulation, and network interactions.",Animals|Body Patterning|Humans|Ion Channel Gating|Ion Channels|Membrane Potentials|Neoplasms|Signal Transduction
26679563,Towards a sociology of healthcare safety and quality.,2015-12-19,"The contributions to this collection address technologies, practices, experiences and the organisation of quality and safety across a wide range of healthcare contexts. Spanning three continents, from hospital to community, maternity to mental health, they shine a light into the boardrooms, back offices and front-lines of healthcare, offering sociological insights from the perspectives of managers, clinicians and patients. We review these articles and consider how they contribute to some of the dilemmas that confront mainstream approaches to quality and safety and then look ahead to outline future lines of sociological inquiry to progress the theory and practice of quality and safety.","Attitude of Health Personnel|Community Health Services|Delivery of Health Care|Health Personnel|Hospital Administration|Humans|Patient Safety|Quality of Health Care|Safety|Safety Management|Sociology, Medical"
26675589,Introduction: December 2015 HeartWeek Issue of Cardiology in the Young - Highlights of HeartWeek 2015: Challenges and Dilemmas of Pediatric Cardiac Care including Heart Failure in Children and Congenital Abnormalities of the Coronary Arteries.,2015-12-18,"This December Issue of Cardiology in the Young represents the 13th annual publication in Cardiology in the Young generated from the two meetings that composed ""HeartWeek in Florida"". ""HeartWeek in Florida"", the joint collaborative project sponsored by the Cardiac Centre at the Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, together with Johns Hopkins All Children's Heart Institute of Saint Petersburg, Florida, averages over 1000 attendees every year and is now recognised as one of the major planks of continuing medical and nursing education for those working in the fields of diagnosis and treatment of cardiac disease in the foetus, neonate, infant, child, and adult. ""HeartWeek in Florida"" combines the International Symposium on Congenital Heart Disease, organised by All Children's Hospital and Johns Hopkins Medicine, and entering its 16th year, with the Annual Postgraduate Course in Paediatric Cardiovascular Disease, organised by The Children's Hospital of Philadelphia entering its 19th year. This December 2015 Issue of Cardiology in the Young features highlights of the two meetings that compose HeartWeek. Johns Hopkins All Children's Heart Institute's 15th Annual International Symposium on Congenital Heart Disease was held at the Renaissance Vinoy Resort & Golf Club, Saint Petersburg, Florida, from Friday, 6 February, 2015, to Monday, 9 February, 2015. This Symposium was co-sponsored by The American Association for Thoracic Surgery and its special focus was ""Congenital Abnormalities of the Coronary Arteries"". The Children's Hospital of Philadelphia's annual meeting - Cardiology 2015, the 18th Annual Update on Paediatric and Congenital Cardiovascular Disease: ""Challenges and Dilemmas"" - was held at the Hyatt Regency Scottsdale Resort and Spa at Gainey Ranch, Scottsdale, Arizona, from Wednesday, 11 February, 2015, to Sunday, 15 February, 2015. We would like to acknowledge the tremendous contributions made to paediatric and congenital cardiac care by Juan Valentín Comas, MD, PhD (13 May, 1960 to 16 June, 2015) and Donald Nixon Ross, FRCS (4 October, 1922 to 7 July, 2014); and therefore, we dedicate this December 2015 HeartWeek Issue of Cardiology in the Young to them.","Adolescent|Cardiology|Child|Child, Preschool|Congresses as Topic|Coronary Vessel Anomalies|Florida|Heart Defects, Congenital|Heart Failure|Hospitals, Pediatric|Humans|Infant|Infant, Newborn|Pediatrics|Philadelphia|Thoracic Surgery"
26667799,Progress in Primary Aldosteronism: Translation on the Move.,2015-12-17,"Hypertension is a major cardiovascular risk factor that affects between 10-40% of the general population in an age dependent manner. The renin-angiotensin-aldosterone system (RAAS) regulates blood pressure, fluid volume, and the vascular response to injury and inflammation 1. Chronic RAAS activation in the presence of sufficient sodium consumption leads to persistent hypertension, setting off a cascade of inflammatory, thrombotic, and atherogenic effects eventually leading to end-organ damage 2 3. Accordingly, numerous studies have demonstrated that elevated renin and/or aldosterone levels are predictors of adverse outcome in hypertension 4, heart failure 5 6, myocardial infarction 7, and renal insufficiency 8 and influence insulin resistance 9. Primary aldosteronism (PA) is the most common secondary form of hypertension with an estimated prevalence between 4 and 12% of hypertensives 10 11 12 and 11-20% in patients that are resistant to combined antihypertensive medication 13 14. Given the severe cardiovascular adverse effects of aldosterone excess that are independent of high blood pressure levels 15 16 17 18 detection and treatment of PA has important impact on clinical outcome and survival.","Clinical Trials as Topic|Female|Humans|Hyperaldosteronism|Mutation|Translational Research, Biomedical"
"26665419
26258790
26007335
14636120
26554510
17316311
19527532
25665157
26389949
26043039
26066012
26378570
26115087
26083114
26404367
26393649
24462490",Food Choice and Nutrition: A Social Psychological Perspective.,2015-12-17,"In this Special Issue, entitled ""Food choice and Nutrition: A Social Psychological Perspective"", three broad themes have been identified: (1) social and environmental influences on food choice; (2) psychological influences on eating behaviour; and (3) eating behaviour profiling.The studies that addressed the social and environmental influences indicated that further research would do well to promote positive food choices rather than reduce negative food choices; promote the reading and interpretation of food labels and find ways to effectively market healthy food choices through accessibility, availability and presentation. The studies on psychological influences found that intentions, perceived behavioural control, and confidence were predictors of healthy eating. Given the importance of psychological factors, such as perceived behavioural control and self-efficacy, healthy eating interventions should reduce barriers to healthy eating and foster perceptions of confidence to consume a healthy diet. The final theme focused on the clustering of individuals according to eating behaviour. Some ""types"" of individuals reported more frequent consumption of fast foods, ready meals or convenience meals or greater levels of disinhibitiona nd less control over food cravings. Intervention designs which make use of multi-level strategies as advocated by the Ecological Model of Behaviour change that proposes multi-level (combining psychological, social and environmental) strategies are likely to be more effective in reaching and engaging individuals susceptible to unhealthy eating habits than interventions operating on a single level.","Choice Behavior|Diet|Environment|Feeding Behavior|Food Preferences|Health Behavior|Health Promotion|Humans|Nutritional Status|Psychology, Social|Self-Control|Social Environment"
26663832,Editorial: Bioprocess beyond the large scale production.,2015-12-15,Advances in bioprocess engineering continue to step forward in its own field of large scale production in mid- and down-stream processes of biotechnology. Some of the recent researches are shown in this AFOB (Asian Federation of Biotechnology) Special issue of Advances in Bioprocess Engineering.,Bioengineering|Bioreactors|Biotechnology
26650438,The Concise Guide to PHARMACOLOGY 2015/16: Overview.,2015-12-10,"The Concise Guide to PHARMACOLOGY 2015/16 provides concise overviews of the key properties of over 1750 human drug targets with their pharmacology, plus links to an open access knowledgebase of drug targets and their ligands (www.guidetopharmacology.org), which provides more detailed views of target and ligand properties. The full contents can be found at http://onlinelibrary.wiley.com/doi/10.1111/bph.13347/full. This compilation of the major pharmacological targets is divided into eight areas of focus: G protein-coupled receptors, ligand-gated ion channels, voltage-gated ion channels, other ion channels, nuclear hormone receptors, catalytic receptors, enzymes and transporters. These are presented with nomenclature guidance and summary information on the best available pharmacological tools, alongside key references and suggestions for further reading. The Concise Guide is published in landscape format in order to facilitate comparison of related targets. It is a condensed version of material contemporary to late 2015, which is presented in greater detail and constantly updated on the website www.guidetopharmacology.org, superseding data presented in the previous Guides to Receptors & Channels and the Concise Guide to PHARMACOLOGY 2013/14. It is produced in conjunction with NC-IUPHAR and provides the official IUPHAR classification and nomenclature for human drug targets, where appropriate. It consolidates information previously curated and displayed separately in IUPHAR-DB and GRAC and provides a permanent, citable, point-in-time record that will survive database updates.","Animals|Databases, Pharmaceutical|Humans|Pharmacology"
26649544,Introduction to the Special Session on Intervention and Outcomes of Children With Hearing Loss.,2015-12-10,"This research forum article introduces the special session on “Intervention and Outcomes of Children with Hearing Loss” presented at the HEaring Across the Lifespan (HEAL) Conference in 2014.
The method involved a narrative summary of the key findings of two papers presented during the session.
Early intervention was effective in improving outcomes of children with significant bilateral hearing loss. Preliminary findings on children with mild or unilateral hearing loss showed communicative development on par with their normal-hearing peers.
Children with bilateral hearing loss benefited from early detection and intervention.","Child|Child, Preschool|Hearing Loss|Humans|Infant|Infant, Newborn|Neonatal Screening|Outcome Assessment, Health Care|Severity of Illness Index"
26649527,Internet and Audiology: A Review of the First International Meeting.,2015-12-10,"The purpose of this research forum article is to describe the impetus for holding the First International Meeting on Internet and Audiology (October 2014) and to introduce the special research forum that arose from the meeting.
The rationale for the First International Meeting on Internet and Audiology is described. This is followed by a short description of the research sections and articles appearing in the special issue. Six articles consider the process of health care delivery over the Internet; this includes health care specific to hearing, tinnitus, and balance. Four articles discuss the development of effective Internet-based treatment programs. Six articles describe and evaluate Internet-based interventions specific to adult hearing aid users.
The fledgling field of Internet and audiology is remarkably broad. The Second International Meeting on Internet and Audiology ocurred in September 2015.",Audiology|Delivery of Health Care|Hearing Loss|Humans|Internet|Postural Balance|Sensation Disorders|Tinnitus
"26649372
25808658
26041733
25814060
26229066
25538112
26271119
26070641
26141131
25851140
26337519
26346716
26041732
26070642
26220658
26034009
25987710
25878139
26070643
25808655
26159933
26292995","Unravelling how plants benefit from ROS and NO reactions, while resisting oxidative stress.",2015-12-10,"Reactive oxygen species (ROS) and reactive nitrogen species (RNS), such as nitric oxide (NO), play crucial roles in the signal transduction pathways that regulate plant growth, development and defence responses, providing a nexus of reduction/oxidation (redox) control that impacts on nearly every aspect of plant biology. Here we summarize current knowledge and concepts that lay the foundations of a new vision for ROS/RNS functions – particularly through signalling hubs – for the next decade.
Plants have mastered the art of redox control using ROS and RNS as secondary messengers to regulate a diverse range of protein functions through redox-based, post-translational modifications that act as regulators of molecular master-switches. Much current focus concerns the impact of this regulation on local and systemic signalling pathways, as well as understanding how such reactive molecules can be effectively used in the control of plant growth and stress responses.
The spectre of oxidative stress still overshadows much of our current philosophy and understanding of ROS and RNS functions. While many questions remain to be addressed – for example regarding inter-organellar regulation and communication, the control of hypoxia and how ROS/RNS signalling is used in plant cells, not only to trigger acclimation responses but also to create molecular memories of stress – it is clear that ROS and RNS function as vital signals of living cells.","Oxidation-Reduction|Oxidative Stress|Plants|Protein Processing, Post-Translational|Reactive Nitrogen Species|Reactive Oxygen Species|Signal Transduction"
26646030,Predictors and treatment outcomes.,2015-12-10,This month's section of Focus on Childhood and Adolescent Mental Health offers a wide array of clinically relevant topics. Interest in the use of dietary supplements to treat mood disorders has been on the rise. Wozniak and colleagues examined whether high EPA/DHA omega-3 fatty acids and inositol were effective in the treatment of pediatric bipolar spectrum disorders.,"Adolescent|Child|Humans|Mental Disorders|Outcome Assessment, Health Care"
