id,title,publication_date,abstract,MeSH,Year,Original_Keywords,Mapped_Terms,Scores
26775867,Application of ecological and mathematical theory to cancer: New challenges.,2016-01-19,"According to the World Health Organization, cancer is among the leading causes of morbidity and mortality worldwide. Despite enormous efforts of cancer researchers all around the world, the mechanisms underlying its origin, formation, progression, therapeutic cure or control are still not fully understood. Cancer is a complex, multi-scale process, in which genetic mutations occurring at a sub-cellular level manifest themselves as functional changes at the cellular and tissue scale.","Ecology|Humans|Mathematical Concepts|Models, Biological|Neoplasms|Congresses as Topic",2016,"Ecological theory
Mathematical model
Cancer mechanisms
Origin of cancer
Formation of cancer
Progression of cancer
Therapeutic cure
Control of cancer
Genetic mutations
Sub-cellular level
Cellular scale
Tissue scale","Social Theory
Mathematical Concepts
Acer
Early Detection of Cancer
Cocarcinogenesis
Early Detection of Cancer
Treatment Failure
Early Detection of Cancer
Mutation
Subcellular Fractions
Cell Count
Tissues","0.7112
0.8047
0.5666
0.6565
0.6565
0.6020
0.6785
0.6692
0.7869
0.6037
0.5811
0.7161"
26768905,Writing within an international context.,2016-01-16,"For Health Information and Libraries Journal, 2015 has had a distinctly international feel to it, something we have consciously been fostering for the past eight years. This issue is no exception in mirroring the journal's Regular Feature International Perspectives and Initiatives, edited by Jeannette Murphy, in shining a light on the best international practice the health information and libraries sector has to offer.",Humans|Internationality|Publishing|Writing,2017,"International context
Health Information
Libraries
Journal
Practice
Sector
Best practices
Health information and libraries
International perspectives
Initiatives
Conscious fostering
Regular feature","International Law
Health Information Management
Libraries
Writing
Professional Practice
Photosynthesis
Group Practice
Libraries, Hospital
Reference Standards
Interinstitutional Relations
Child Custody
Remission, Spontaneous","0.6276
0.8826
1.0000
0.8026
0.8162
0.6457
0.8365
0.6483
0.7265
0.5930
0.5801
0.5250"
26752565,Genetic Testing: Understanding the Personal Stories.,2016-01-12,"Twelve personal narratives address the challenges, benefits, and pitfalls of genetic testing. Three commentary articles explore these stories and suggest lessons that can be learned from them. The commentators come from backgrounds that include bioethics, public health, psychology, and philosophy.",Genetic Testing|Humans|Personal Narratives as Topic,2016,"Genetic Testing
Personal Stories
Challenges
Benefits
Pitfalls
Bioethics
Public Health
Psychology
Philosophy
Commentary Articles","Genetic Testing
Personal Narratives
Patient Rights
Survival Rate
Hip
Bioethics
Public Health
Psychology
Philosophy
Comment","1.0000
0.7029
0.7354
0.7421
0.6330
1.0000
1.0000
1.0000
1.0000
0.7780"
26752385,Teaching and Learning the Techniques of Conflict Resolution for Challenging Ethics Consultations.,2016-01-12,"Professional mediators have long possessed a skill set that is uniquely suited to facilitation of difficult conversations between and among individuals in emotionally charged situations. This skill set has increasingly been recognized as invaluable to the work of clinical ethics consultants as they navigate conflicts involving families, surrogates, and providers. Given widespread acknowledgment that communication difficulties lie at the root of many clinical ethics conflicts, mediation offers techniques to enhance communication between conflicting parties. This special section of The Journal of Clinical Ethics focuses on core aspects of the mediation process designed for effective management of clinical conflict emanating from communication breakdowns, highly charged value conflicts, and instances of perceived disrespect.",Clinical Decision-Making|Communication|Conflict of Interest|Ethicists|Ethics Consultation|Family|Goals|Health Personnel|Humans|Negotiating|Patient-Centered Care|Problem Solving|Problem-Based Learning|Teaching,2016,"Conflict resolution
Mediation techniques
Clinical ethics consultations
Emotionally charged situations
Communication difficulties
Professional mediators
Facilitation of difficult conversations
Families
Surrogates
Providers
Journal of Clinical Ethics","Structure Collapse
Meditation
Ethics Consultation
Emotional Intelligence
Communication Barriers
Interprofessional Relations
Communication Barriers
Family Health
Surgery, Oral
Physicians
Codes of Ethics","0.5461
0.6996
0.8161
0.6725
0.6826
0.7044
0.6332
0.7644
0.6307
0.7102
0.7199"
26752381,Mediation Approaches at the Beginning or End of Life.,2016-01-12,"The approaches used in mediation may help ethics consultants, especially in difficult cases. In this piece, I primarily discuss these techniques. I also discuss how clinicians may be of the most help to parents of infants with severe genetic conditions, to research participants, and to patients who may be at risk for Alzheimer's disease and their surrogate decision makers.","Aged|Alzheimer Disease|Caregivers|Clinical Decision-Making|Congenital Abnormalities|Decision Making|Emotions|Ethicists|Ethics Committees, Clinical|Ethics Consultation|Humans|Infant|Negotiating|Parents|Practice Guidelines as Topic|Prader-Willi Syndrome|Research|Suicidal Ideation",2016,"Mediation
Beginning of life
End of life
Ethics consultants
Difficult cases
Clinicians
Parents
Infants
Severe genetic conditions
Research participants
Alzheimer's disease
Surrogate decision makers","Mediterranean Region
Beginning of Human Life
Mortality
Ethics Committees
Legal Cases
Physicians
Parents
Infant
Genetic Diseases, Inborn
Health Resources
Alzheimer Disease
Surrogate Mothers","0.6497
0.7779
0.7212
0.6834
0.7092
0.7705
1.0000
0.9168
0.6622
0.8633
0.9439
0.6458"
26746134,Introduction: Male fertility preservation: innovations and questions.,2016-01-10,"It is now well established that many benign or malignant diseases may by themselves or as result of treatment, impair male fertility. Therefore, preserving the potential of becoming a genetic father represents a major issue. Besides sperm cryopreservation, which is the most reliable method for male fertility preservation, other strategies have more recently emerged, especially in prepubertal boys. Prepubertal germ cell storage from testicular sperm extraction and derivation of male gametes from stem cells may represent a future hope, although raising many ethical issues.","Age Factors|Cryopreservation|Fertility|Fertility Preservation|Humans|Infertility, Male|Male|Puberty|Risk Factors|Semen Preservation|Spermatogenesis",2016,"Male fertility preservation
Innovations
Questions
Benign diseases
Malignant diseases
Impaired fertility
Treatment effects
Sperm cryopreservation
Prepubertal boys
Testicular sperm extraction
Stem cells
Ethical issues","Fertility Preservation
Inventions
Examination Questions
Animal Diseases
Rare Diseases
Infertility
Treatment Failure
Sperm Retrieval
Adolescent
Sperm Transport
Stem Cells
Ethology","0.7661
0.6532
0.6781
0.7923
0.6021
0.7974
0.8702
0.7139
0.6130
0.7132
0.9189
0.7926"
26730497,Introduction: Examining the many potential reasons why euploid blastocysts do not always result in viable pregnancies: part 1.,2016-01-06,"The environment of the oocyte and embryo includes the metabolic effects of aging, lifestyle issues, psychological stress, nutritional supplements/replacements, cellular energy levels, endocrine and paracrine factors, the cumulus, exogenous gonadotropins and adjunctive medications, culture media, and the in vitro fertilization laboratory's conditions and manipulations. These complex factors, which will be examined in the following series of reviews, explain in part why not all euploid blastocysts result in viable pregnancies.","Age Factors|Animals|Blastocyst|Embryo Implantation|Embryo Transfer|Female|Fertility|Fertilization in Vitro|Humans|Infertility|Life Style|Oocyte Retrieval|Oocytes|Pregnancy|Reproductive Techniques, Assisted|Risk Factors|Stress, Physiological|Stress, Psychological|Treatment Failure",2016,"Euploid blastocysts
Viable pregnancies
Oocyte environment
Embryo metabolism
Aging effects
Lifestyle factors
Psychological stress
Nutritional supplements
Cellular energy levels
Endocrine and paracrine factors
Cumulus cells
Exogenous gonadotropins
Adjunctive medications
Culture media
In vitro fertilization laboratory","Polyploidy
Pregnancy
Oocytes
Metabolism
Aging
Sedentary Lifestyle
Stress, Psychological
Nutritional Sciences
Energy Transfer
Tacrine
Cumulus Cells
Testosterone
Adrenergic Agents
Culture Media
In Vitro Techniques","0.5900
0.8497
0.7470
0.6631
0.7699
0.6461
0.8116
0.7832
0.6064
0.5499
0.8138
0.5747
0.5664
0.8420
0.5916"
26723585,"Preface: Special Topic on Coarse Graining of Macromolecules, Biopolymers, and Membranes.",2016-01-03,"This special issue highlights new developments in theory and coarse-graining in biological and synthetic macromolecules and membranes. Such approaches give unique insights into the principles and design of the structures, dynamics, and assembly processes of these complex fluids and soft materials, where the length and time scales are often prohibitively long for fully atomistic modeling.",Biopolymers|Macromolecular Substances|Molecular Dynamics Simulation|Molecular Structure|Thermodynamics,2016,"Coarse-graining
Macromolecules
Biopolymers
Membranes
Complex fluids
Soft materials
Structures
Dynamics
Assembly processes
Atomistic modeling","Whole Grains
Macromolecular Substances
Biopolymers
Membranes
Ionic Liquids
Dental Materials
Group Structure
Urodynamics
Mental Processes
Logistic Models","0.5937
0.7168
1.0000
1.0000
0.5819
0.6939
0.6773
0.7668
0.5772
0.5883"
26720409,From the Editor: An Introduction to the JSLHR Supplement on Implementation Science.,2016-01-01,"The JSLHR Supplement on Implementation Science is aimed at providing discussion and examples of research in implementation science, the study of methods designed to promote the incorporation of research findings into clinical practice.
Practitioners in the language science area were invited to submit articles that address their experience with various aspects of implementation science.
Six articles from several research groups comprise this supplement.
Implementation science is an aspect of intervention research that merits consideration by communication disorders scientists. More extensive practice of implementation science will improve uptake of evidence-based practice in the clinical community.",Biomedical Research|Communication Disorders|Evidence-Based Practice|Health Plan Implementation|Humans|Research Design|Speech-Language Pathology,2016,"Implementation Science
JSLHR Supplement
Clinical Practice
Research Findings
Communication Disorders
Evidence-Based Practice
Intervention Research
Uptake of Evidence-Based Practice
Incorporation of Research Findings","Information Science
Suppositories
Professional Practice
Research Report
Communication Disorders
Evidence-Based Practice
Inventions
Evidence-Based Practice
Peer Review, Research","0.6410
0.5236
0.8958
0.7293
1.0000
1.0000
0.7139
0.8661
0.6700"
26717527,Suicidal behavior: measurement and mechanisms.,2015-12-31,"This issue of Focus on Suicide brings us new data about risk assessment, with 2 articles examining the utility of rating scales for assessment of suicidal behavior. Youngstrom et al conduct a careful comparison of 3 suicide rating scales: the Columbia Suicide Severity Rating Scale (C-SSRS), the Suicide Tracking Scale (STS), and the Sheehan Suicidality Tracking Scale (S-STS). While the scales did comparably in 2 broad categories, suicidal ideation and suicide attempts, the study suggests that some subtypes of suicidal behavior/ideation are not captured as well by the S-STS.",Humans|Suicide|Suicide Prevention,2016,"Suicidal behavior
Measurement
Mechanisms
Risk assessment
Rating scales
Suicide rating scales
Columbia Suicide Severity Rating Scale (C-SSRS)
Suicide Tracking Scale (STS)
Sheehan Suicidality Tracking Scale (S-STS)
Subtypes of suicidal behavior/ideation","Suicidal Ideation
Cell Size
Mechanics
Risk Assessment
Psychiatric Status Rating Scales
Suicide
Psychiatric Status Rating Scales
Suicide
Suicide
Suicidal Ideation","0.8769
0.6867
0.7115
0.9517
0.6409
0.7211
0.5294
0.6087
0.5285
0.7069"
26711967,Special issue of ChinaNanomedicine 2015.,2015-12-30,"The special issue of ChinaNanomedicine 2015 is the invited contributions from the attendees of the 1st International Conference on Nanomedicine (ChinaNanomedicine 2015, Hangzhou, China), the inaugural conference of the Chinese Society for Nanomedicine. The content includes using natural virus capsids and capsid-mimicking nanostructures for efficient drug delivery, gold nanoshell capsules for photothermal therapy and chemotherapy, codelivery of drugs and genes for cancer therapy as well as nanomedicine applications in antibacterial and anti-Alzheimer treatments, and rapid detection of early osteogenic differentiation.",Alzheimer Disease|Bacterial Infections|Biomimetic Materials|Capsid|China|Drug Delivery Systems|Gold|Humans|Nanomedicine|Nanoshells|Nanostructures|Neoplasms,2016,"Nanomedicine
Drug delivery
Virus capsids
Gold nanoshells
Photothermal therapy
Chemotherapy
Cancer therapy
Gene delivery
Antibacterial treatment
Anti-Alzheimer treatments
Rapid detection
Osteogenic differentiation","Nanomedicine
Drug Delivery Systems
Virus Internalization
Goldfish
Photochemotherapy
Chemotherapy, Adjuvant
Play Therapy
Surgeons
Anti-Bacterial Agents
Alzheimer Disease
Limit of Detection
Osteogenesis","1.0000
0.8570
0.7223
0.6092
0.8336
0.7706
0.6253
0.9801
0.7609
0.7066
0.7112
0.7404"
26705674,Introduction-Grand Challenges and small steps.,2015-12-27,"This collection addresses two different audiences: 1) historians and philosophers of the life sciences reflecting on collaborations across disciplines, especially as regards defining and addressing Grand Challenges; 2) researchers and other stakeholders involved in cross-disciplinary collaborations aimed at tackling Grand Challenges in the life and medical sciences. The essays collected here offer ideas and resources both for the study and for the practice of goal-driven cross-disciplinary research in the life and medical sciences. We organise this introduction in three sections. The first section provides some background and context. The second motivates our take on this topic and then outlines the central ideas of each paper. The third section highlights the specificity and significance of this approach by considering: a) how this collection departs from existing literature on inter- and trans-disciplinarity, b) what is characteristic about this approach, and c) what role this suggests for the history and philosophy of the life sciences in addressing Grand Challenges.",Biological Science Disciplines|Interdisciplinary Communication,2016,"Grand Challenges
Cross-disciplinary collaborations
Life sciences
Medical sciences
Historians
Philosophers
Interdisciplinarity
Transdisciplinarity
Goal-driven research
Resources
Background
Context
Study
Practice
Departure from existing literature","Grandparents
Interdisciplinary Communication
Social Sciences
Social Sciences
Social Values
Philosophy
Interinstitutional Relations
Intervertebral Disc Displacement
Support of Research
Dictionary
Methods
Nature
Population
Professional Practice
Literature, Modern","0.6184
0.7045
0.8352
0.8682
0.6987
0.8912
0.5625
0.5465
0.6957
0.8616
0.7168
0.5929
0.8817
0.8162
0.5878"
"26702462
18926704
19427214
24421873
19909973
32846659
24449751
21687739
17765703
18635091
25196470
26184284
26008705
26154017
16641291
25725149
26110586
22927991
4968339
5827552
18243390
17933946
17949741
17166598
18079012
26110588
17823314
20804765
19909972
20401479
20423694
19196347
21203478
20379718
22690671
18024913
25954053
21203504
23449997
24553241
26110584
24130869",Special Issue: Honey Bee Viruses.,2015-12-26,"Pollination of flowering plants is an important ecosystem service provided by wild insect pollinators and managed honey bees. Hence, losses and declines of pollinating insect species threaten human food security and are of major concern not only for apiculture or agriculture but for human society in general. Honey bee colony losses and bumblebee declines have attracted intensive research interest over the last decade and although the problem is far from being solved we now know that viruses are among the key players of many of these bee losses and bumblebee declines. With this special issue on bee viruses we, therefore, aimed to collect high quality original papers reflecting the current state of bee virus research. To this end, we focused on newly discovered viruses (Lake Sinai viruses, bee macula-like virus), or a so far neglected virus species (Apis mellifera filamentous virus), and cutting edge technologies (mass spectrometry, RNAi approach) applied in the field.",Animals|Bees|Biomedical Research|Virology|Viruses,2016,"Honey bees
Viruses
Pollination
Ecosystem service
Food security
Apiculture
Agriculture
Colony losses
Bumblebees
Research interest
Lake Sinai viruses
Bee macula-like virus
Apis mellifera filamentous virus
Mass spectrometry
RNAi approach","Water Supply
Viruses
Pollination
Ecosystem
Health Equity
Apnea
Agriculture
Colony Collapse
Bees
Conflict of Interest
SARS Virus
Xenotropic murine leukemia virus-related virus
Xenotropic murine leukemia virus-related virus
Tandem Mass Spectrometry
RNAi Therapeutics","0.9460
1.0000
1.0000
0.8374
0.6240
0.6956
1.0000
0.8286
0.6458
0.7401
0.6879
0.7000
0.6545
0.6397
0.7631"
